City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Stavern,NO,66.18,clear sky,59.0,10.0333,Hotel Wassilioff
Gondar,ET,63.32,broken clouds,12.6,37.4667,L Shape Hotel
Suslovo,RU,53.19,overcast clouds,56.2167,88.1167,
Port Lincoln,AU,53.71,clear sky,-34.7333,135.8667,Port Lincoln Hotel
Victor Harbor,AU,51.67,overcast clouds,-35.5667,138.6167,McCracken Country Club
Lebu,CL,51.31,light rain,-37.6167,-73.65,Hostal Las Lilas
Manakara,MG,68.76,clear sky,-22.1333,48.0167,La Residence Manakara
Ostrovnoy,RU,41.99,moderate rain,68.0531,39.5131,
Chuy,UY,62.06,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
Pilot Butte,CA,64.02,light rain,50.4668,-104.4178,Sleep Inn Regina East
Sakaiminato,JP,66.18,few clouds,35.55,133.2333,Italian pasley
La Ronge,CA,59.25,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
Aykhal,RU,53.38,overcast clouds,66.0,111.5,
Nikolskoye,RU,57.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
Baoqing,CN,57.49,overcast clouds,46.3317,132.2111,Baoqing Hotel
Asau,RO,65.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
Rypefjord,NO,43.27,broken clouds,70.6333,23.6667,Skytterhuset
Dandong,CN,57.6,clear sky,40.1292,124.3947,Yiranju Farmstay
Ust-Kan,RU,45.5,broken clouds,50.9276,84.761,Mini-hotel na Leninskoy
Khandyga,RU,51.31,clear sky,62.6667,135.6,Apel'sin
Shuyskoye,RU,52.12,scattered clouds,59.3736,41.0305,
Graaff-Reinet,ZA,48.61,scattered clouds,-32.2522,24.5308,Rietjiesbos Self Catering
Siedlce,PL,62.76,overcast clouds,52.1677,22.2901,Hotel Arche
Necochea,AR,54.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
Constitucion,CL,55.72,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
Ahipara,NZ,54.52,light rain,-35.1667,173.1667,Ahipara Holiday Park
Sitka,US,64.29,clear sky,57.0531,-135.33,Westmark Sitka
Ambilobe,MG,69.03,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
Bereda,ES,64.33,overcast clouds,43.2686,-7.5406,Pazo de Verdes
Seoul,KR,62.04,clear sky,37.5683,126.9778,롯데호텔 서울
Sukumo,JP,69.69,overcast clouds,32.9333,132.7333,Sukumojo
Vallenar,CL,59.41,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
Fortuna,US,59.94,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
Zlotoryja,PL,66.65,scattered clouds,51.1264,15.9198,Gold Hotel Złotoryja
Coquimbo,CL,58.73,few clouds,-29.9533,-71.3436,Hotel San Juan
Ballina,AU,50.77,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
Lazurne,UA,67.33,clear sky,46.084,32.5295,New Manna Hostel
Haines Junction,CA,64.35,scattered clouds,60.7522,-137.5108,Parkside Inn
Tigil,RU,50.81,moderate rain,57.8,158.6667,Tigil'
Szentgotthard,HU,63.0,light rain,46.9526,16.2736,Gastland Hotel Átrium
Mendi,PG,53.22,overcast clouds,-6.1761,143.6513,Kiburu Lodge
Ereymentau,KZ,55.58,scattered clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
Trzebiatow,PL,58.93,clear sky,54.0615,15.2648,MNE Apartament
Fort Nelson,CA,53.19,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
Ivolginsk,RU,60.46,broken clouds,51.7492,107.2837,
Chiredzi,ZW,58.05,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
Ilulissat,GL,55.42,scattered clouds,69.2167,-51.1,Hotel Arctic
Aklavik,CA,63.1,scattered clouds,68.2191,-135.0107,Aklavik Inn
Kyshtovka,RU,55.78,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
Geraldton,AU,61.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
Innisfail,AU,69.42,broken clouds,-17.5333,146.0333,Moondarra Motel
Sorland,NO,48.06,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
Rio Grande,BR,69.91,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
Mercedes,AR,60.85,few clouds,-34.6515,-59.4307,Posada del Inti Centro
Raudeberg,NO,53.96,overcast clouds,61.9875,5.1352,Nordre Silda.
Magadan,RU,43.54,moderate rain,59.5667,150.8,Magadan hotel
Waipawa,NZ,49.32,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
Omsukchan,RU,45.43,overcast clouds,62.5333,155.8,
Kununurra,AU,53.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
Nemuro,JP,52.92,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
Baykit,RU,60.46,scattered clouds,61.67,96.37,
Beringovskiy,RU,42.33,broken clouds,63.05,179.3167,
Tokur,RU,46.36,overcast clouds,53.1333,132.9,
Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
Ketrzyn,PL,55.08,overcast clouds,54.0768,21.3753,KOCH
Parana,AR,69.55,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
Richards Bay,ZA,56.28,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Marienburg,PL,55.99,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
Batemans Bay,AU,54.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
Hay River,CA,57.16,broken clouds,60.8156,-115.7999,Ptarmigan Inn
Chililabombwe,ZM,60.44,clear sky,-12.3648,27.8229,Tabernacle Guest Lodge and Events (Under new management!)
Beitbridge,ZW,60.48,clear sky,-22.2167,30.0,Beitbridge Express Hotel
College,US,64.72,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
Kosa,RU,60.51,overcast clouds,59.9445,54.9977,Gostinitsa V Kose
Calvinia,ZA,50.34,overcast clouds,-31.4707,19.776,Die Lemoenhuis
Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
Bafia,CM,69.57,heavy intensity rain,4.75,11.2333,Hotel born beyem
Oksfjord,NO,44.78,overcast clouds,70.2396,22.3479,
Chik,RU,56.95,clear sky,54.9928,82.4311,
Muhos,FI,51.58,light rain,64.808,25.9931,Montta - active camping / campsite Montan
Kerchevskiy,RU,59.54,light rain,59.946,56.2884,
Traralgon,AU,51.15,overcast clouds,-38.1833,146.5333,Comfort Inn Traralgon
Shambu,ET,53.89,light rain,9.5667,37.1,Wabe Hotel
Komagane,JP,63.12,light rain,35.7296,137.9396,駒ヶ根ユースホステル
Isiro,CD,68.38,overcast clouds,2.7739,27.616,Guest House Hewa Bora
Mount Isa,AU,55.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
Volkhov,RU,53.74,overcast clouds,59.9258,32.3382,"Parikmakherskaya ""Metallurg"""
Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
Toora-Khem,RU,53.22,overcast clouds,52.4675,96.11,
Brae,GB,55.22,overcast clouds,60.3964,-1.353,Busta House Hotel
Lugovoy,KZ,65.35,few clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
Imeni Babushkina,RU,52.88,scattered clouds,59.7573,43.1285,"Gostevoy Dom ""Usol'ye"""
San Juan,AR,57.92,clear sky,-31.5375,-68.5364,Hotel Provincial
Olavarria,AR,58.03,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
General Roca,AR,60.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
Kiruna,SE,52.72,clear sky,67.8557,20.2251,Camp Ripan
Ngunguru,NZ,53.67,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
Oktyabrskoye,RU,68.14,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
Cidreira,BR,65.89,broken clouds,-30.1811,-50.2056,Hotel Castelo
Poltavka,RU,59.36,clear sky,54.3663,71.7632,
Portland,US,66.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
At-Bashi,KG,49.86,broken clouds,41.1702,75.8106,Hostel At-Bashy
Karpogory,RU,55.22,clear sky,64.0019,44.4451,Hotel Pinezhskaya Sloboda
Anchorage,US,63.64,clear sky,61.2181,-149.9003,Hotel Captain Cook
Yulara,AU,57.76,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Honningsvag,NO,40.75,light intensity drizzle,70.9821,25.9704,Nordkapp Vandrerhjem
Krasnoarmeysk,RU,60.19,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
Anadyr,RU,46.9,few clouds,64.75,177.4833,Отке17.ру — жильё для командированных
Miyako,JP,61.79,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
Verkhoyansk,RU,44.91,overcast clouds,67.5447,133.385,
Mareeba,AU,68.72,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
Alice Springs,AU,44.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
Kaeo,NZ,48.33,light rain,-35.1,173.7833,Bushido Lodge
Laukaa,RU,53.98,broken clouds,58.7372,29.8453,U Lysoy Gory Hotel
Pandamatenga,BW,59.34,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
Olafsvik,IS,49.71,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
Novyy Urengoy,RU,58.42,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
Ulaanbaatar,MN,60.93,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
Birobidzhan,RU,57.13,overcast clouds,48.8,132.95,Hotel Central (Vostok)
Suifenhe,CN,52.66,few clouds,44.4,131.1667,Holiday Inn Suifenhe
Zunyi,CN,63.81,overcast clouds,27.6867,106.9072,Bishiluo Hostel
Camana,PE,63.09,broken clouds,-16.6228,-72.7111,Hostal Morales
Christchurch,NZ,44.91,overcast clouds,-43.5333,172.6333,The George
Eureka,US,61.12,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
Mbarara,UG,65.28,clear sky,-0.608,30.65,Oxford Hotel
Okhotsk,RU,41.41,overcast clouds,59.3833,143.3,
Petrokamenskoye,RU,58.69,light rain,57.716,60.6484,Baza Otdykha
Chicama,PE,63.14,few clouds,-7.8447,-79.1469,Balihai Bungalows
Bantry,IE,61.79,overcast clouds,51.6833,-9.45,The Maritime Hotel
Marystown,CA,60.71,few clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
Nelson Bay,AU,52.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
Mazyr,BY,57.79,overcast clouds,52.0495,29.2456,Euro Mini-Hotel
Linxia,CN,58.41,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
Smithers,CA,57.52,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
Loukhi,RU,46.17,moderate rain,66.0764,33.0381,Хостел Северяночка
Port Hedland,AU,68.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
Aksarka,RU,47.71,scattered clouds,66.5606,67.7975,
Haradok,BY,62.71,overcast clouds,55.4624,29.9816,Sportivnyy Gorodok
Batagay,RU,44.91,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
Roros,NO,51.64,broken clouds,62.5747,11.3842,Erzscheidergården
Yuanping,CN,68.7,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
Vardo,NO,40.98,broken clouds,70.3705,31.1107,Vardø Hotel AS
Koslan,RU,57.04,overcast clouds,63.4564,48.8989,
Rustenburg,ZA,46.8,clear sky,-25.6676,27.2421,Rustenburg Boutique Hotel
Port Macquarie,AU,43.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
Baley,RU,51.19,scattered clouds,51.6,116.6333,Shkola 12.
Troitskoye,RU,52.65,overcast clouds,52.9821,84.6757,
Churapcha,RU,51.37,broken clouds,62.0025,132.4325,"""Tusku"""
Barth,DE,66.06,clear sky,54.3635,12.7249,Vineta Hotel Stadt Barth
Sinegorye,RU,52.21,light rain,62.0788,150.477,
Nsanje,MW,67.03,clear sky,-16.92,35.262,Nsanje Discovery Lodge
Zernograd,RU,65.05,few clouds,46.8452,40.3083,Gostinitsa Lyuks
Okha,RU,42.96,light rain,53.5739,142.9478,Sakhalin-Sfera
Barranca,PE,65.71,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
Cochrane,CA,65.89,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
Khromtau,KZ,66.61,scattered clouds,50.2503,58.4347,Придорожный сервис Кең Дала
Taveta,KE,68.07,scattered clouds,-3.3963,37.6736,Challa Hotel
Imeni Poliny Osipenko,RU,49.55,light rain,52.4201,136.4853,Yubileynaya
Kirkkonummi,FI,63.18,broken clouds,60.1238,24.4385,Karhukolo
Zhireken,RU,56.35,overcast clouds,52.8249,117.3076,Gostinitsa
Sergeyevka,KZ,64.44,overcast clouds,53.88,67.4158,Amina
Catamarca,AR,64.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
Butia,BR,67.95,overcast clouds,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
Berlevag,NO,41.0,broken clouds,70.8578,29.0864,Kvitbrakka
Ust-Tsilma,RU,59.54,overcast clouds,65.441,52.1498,U Praskov'i
Da Lat,VN,60.33,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
Narsaq,GL,44.87,scattered clouds,60.9167,-46.05,Sleep In Narsaq
