City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,Dutlwe,-23.9833,23.9,53.38,29,0,9.91,BW,2022-06-15 16:02:45
513,Mawlaik,23.6333,94.4167,76.66,98,100,1.23,MM,2022-06-15 16:02:46
514,Varberg,57.1056,12.2508,65.23,78,100,10.31,SE,2022-06-15 16:02:46
515,Nevelsk,46.6733,141.8633,49.5,84,97,7.07,RU,2022-06-15 16:02:46
516,Kirakira,-10.4544,161.9205,79.48,85,92,7.87,SB,2022-06-15 16:02:47
517,Puerto Narino,-3.7703,-70.3831,86.11,56,70,1.3,CO,2022-06-15 16:02:47
518,Bow Island,49.8668,-111.3684,53.47,87,100,34.31,CA,2022-06-15 16:02:48
519,Jutai,-5.1833,-68.9,87.28,53,65,0.92,BR,2022-06-15 16:02:48
520,Kure,34.2333,132.5667,68.72,94,100,0.45,JP,2022-06-15 16:02:48
521,Ukiah,39.1502,-123.2078,75.43,39,0,3.42,US,2022-06-15 15:59:36
522,Huallanca,-9.8993,-76.9417,54.55,43,5,7.18,PE,2022-06-15 16:02:49
523,Rawson,-43.3002,-65.1023,50.16,57,8,2.08,AR,2022-06-15 16:02:49
524,Hays,30.0502,-98.0336,86.92,66,100,5.99,US,2022-06-15 16:02:49
525,Bowen,-20.0167,148.2333,66.54,82,98,8.34,AU,2022-06-15 16:02:50
526,Albanel,48.8832,-72.4487,71.96,53,3,5.93,CA,2022-06-15 16:00:23
527,Naryan-Mar,67.6713,53.087,55.83,55,7,10.0,RU,2022-06-15 16:02:50
528,Floro,61.5996,5.0328,62.24,87,75,10.36,NO,2022-06-15 16:02:50
529,Dera Bugti,29.0307,69.151,99.43,18,0,8.75,PK,2022-06-15 16:02:51
530,Maumere,-8.6199,122.2111,78.35,79,41,2.75,ID,2022-06-15 16:02:51
531,Vagur,61.4732,-6.8119,48.65,96,99,5.86,FO,2022-06-15 16:02:51
532,Okitipupa,6.5047,4.7839,79.27,81,100,4.63,NG,2022-06-15 16:02:52
533,Oranjestad,12.524,-70.027,80.1,86,100,22.57,AW,2022-06-15 16:01:45
534,Limulunga,-15.0969,23.1376,70.52,32,2,0.27,ZM,2022-06-15 16:02:52
535,Yulara,-25.2406,130.9889,58.8,50,80,7.54,AU,2022-06-15 16:02:52
536,Saint-Francois,46.4154,3.9054,92.64,33,0,3.44,FR,2022-06-15 16:02:53
537,Bivolari,47.5333,27.4333,73.98,48,76,7.56,RO,2022-06-15 16:02:53
538,Lujan,-34.5703,-59.105,66.02,74,100,4.7,AR,2022-06-15 16:02:53
539,Jabinyanah,35.035,10.9081,81.81,44,43,12.5,TN,2022-06-15 16:02:54
540,Murygino,58.7383,49.4582,67.8,90,94,5.73,RU,2022-06-15 16:02:54
541,Deer Lake,49.1667,-57.4316,66.06,45,20,4.61,CA,2022-06-15 15:58:31
542,The Valley,18.217,-63.0578,85.1,80,100,18.03,AI,2022-06-15 16:01:22
543,Zanjan,36.6736,48.4787,76.26,14,0,16.08,IR,2022-06-15 16:02:55
544,Povenets,62.8487,34.8262,56.89,72,49,8.88,RU,2022-06-15 16:02:55
545,Pajapan,18.25,-94.7,77.16,81,98,6.24,MX,2022-06-15 16:02:55
546,Ballina,-28.8667,153.5667,59.02,90,0,5.95,AU,2022-06-15 16:00:19
547,Takoradi,4.8845,-1.7554,74.75,95,100,6.06,GH,2022-06-15 16:02:56
548,Dukat,62.55,155.55,43.12,88,100,6.24,RU,2022-06-15 16:02:56
549,Mvuma,-19.2792,30.5283,61.3,36,5,4.18,ZW,2022-06-15 16:02:57
550,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.49,88,40,0.45,RU,2022-06-15 16:02:56
551,Fort Saint James,54.4333,-124.25,60.26,46,5,3.04,CA,2022-06-15 16:02:57
552,Mount Isa,-20.7333,139.5,56.97,41,39,5.75,AU,2022-06-15 16:03:58
553,Santa Vitoria Do Palmar,-33.5189,-53.3681,61.65,58,39,5.61,BR,2022-06-15 16:03:58
554,Dzhebariki-Khaya,62.2167,135.8,50.07,95,100,3.15,RU,2022-06-15 16:03:58
555,Tingi,-11.3,35.0333,63.75,74,2,2.59,TZ,2022-06-15 16:03:59
556,Shalakusha,62.2247,40.2539,62.67,62,32,7.16,RU,2022-06-15 16:03:59
557,Qaqortoq,60.7167,-46.0333,42.66,69,8,11.12,GL,2022-06-15 16:03:59
558,Nongan,44.382,125.1685,63.61,82,61,6.87,CN,2022-06-15 16:04:00
559,Kirando,-7.4167,30.6,75.18,61,5,3.8,TZ,2022-06-15 16:04:00
560,Guhagar,17.4842,73.1929,81.86,80,17,6.55,IN,2022-06-15 16:04:00
561,Glendive,47.1053,-104.7125,55.76,72,100,27.63,US,2022-06-15 16:01:42
562,Sitka,57.0531,-135.33,53.49,71,20,9.22,US,2022-06-15 16:04:01
563,Barra Patuca,15.8,-84.2833,81.95,79,94,10.38,HN,2022-06-15 16:04:01
564,Makinsk,52.6292,70.4169,58.71,67,96,7.09,KZ,2022-06-15 16:04:01
565,Rio Branco,-9.9747,-67.81,81.21,65,0,2.3,BR,2022-06-15 16:02:21
566,Marion,39.7684,-86.1555,89.56,64,0,8.05,US,2022-06-15 16:01:30
567,Saint-Joseph,-21.3667,55.6167,70.18,82,17,13.94,RE,2022-06-15 16:04:02
568,Unisan,13.8392,121.9783,81.46,79,60,3.11,PH,2022-06-15 16:04:02
569,Kyzyl-Suu,42.3414,78.0056,56.41,79,93,1.68,KG,2022-06-15 16:04:03
570,Isangel,-19.55,169.2667,75.72,85,78,13.15,VU,2022-06-15 16:04:03
571,Lozovik,44.4677,21.1007,77.72,31,0,4.54,RS,2022-06-15 16:04:04
572,Saint-Pierre,-21.3393,55.4781,74.91,78,20,4.61,RE,2022-06-15 16:04:04
573,Kokkola,63.8385,23.1307,60.96,63,0,16.11,FI,2022-06-15 16:04:04
574,Tambopata,-12.7333,-69.1833,80.49,50,0,4.61,PE,2022-06-15 16:04:05
575,Kamenka,51.3223,42.7678,62.92,93,100,2.06,RU,2022-06-15 16:04:05
